storage_code,dna_extraction,storage_location,unique_ID,bombus_species,leg_or_swab,sex,floral_host,latitude_utm,longitude_utm,elevation,state,county,date_collected,temperature,wind_speed,cloud_cover,site_name,collector,notes,
,,,srd-afton-4aug21-fervidus-01-swab,fervidus,swab,female,securigera varia,44.854883,-92.774761,,minnesota,washington,04-08-21,82,6,80,afton,srd,,
,,,mlb-troutbrook-3aug21-fervidus-01-leg,fervidus,leg,female,cirsium vulgare,44.975897,-93.09324,,minnesota,ramsey,03-08-21,71,3,0,troutbrook,mlb,,
,,,mlb-troutbrook-3aug21-fervidus-01-swab,fervidus,swab,female,cirsium vulgare,44.975897,-93.09324,,minnesota,ramsey,03-08-21,71,3,0,troutbrook,mlb,,
,,,mlb-troutbrook-3aug21-fervidus-02-leg,fervidus,leg,female,centaurea stoebe,44.975897,-93.09324,,minnesota,ramsey,03-08-21,71,3,0,troutbrook,mlb,,
,,,mlb-troutbrook-3aug21-fervidus-02-swab,fervidus,swab,female,centaurea stoebe,44.975897,-93.09324,,minnesota,ramsey,03-08-21,71,3,0,troutbrook,mlb,,
,,,mlb-mosquitocreek-28july21-fervidus-01-leg,fervidus,leg,female,trifolium pratense,47.42785,-95.421228,,minnesota,clearwater,28-07-21,82,9,90,mosquito creek,mlb,,
,,,mlb-mosquitocreek-28july21-fervidus-01-swab,fervidus,swab,female,trifolium pratense,47.42785,-95.421228,,minnesota,clearwater,28-07-21,82,9,90,mosquito creek,mlb,,
,,,mlb-oldredlake-29july21-fervidus-01-leg,fervidus,leg,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
,,,mlb-oldredlake-29july21-fervidus-01-swab,fervidus,swab,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
,,,mlb-oldredlake-29july21-fervidus-02-leg,fervidus,leg,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
,,,mlb-oldredlake-29july21-fervidus-02-swab,fervidus,swab,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
I1 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-redlake-29july21-impatiens-01-leg,impatiens,leg,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
,,,mlb-oldredlake-29july21-impatiens-01-swab,impatiens,swab,female,centaurea stoebe,47.622837,-95.32677,,minnesota,clearwater,29-07-21,77,6,100,old red lake,mlb,,
I112 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",srd-shetek-27july21-impatiens-01-leg,impatiens,leg,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
,,,srd-shetek-27july21-impatiens-01-swab,impatiens,swab,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
I113 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",srd-shetek-27july21-impatiens-02-leg,impatiens,leg,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
,,,srd-shetek-27july21-impatiens-02-swab,impatiens,swab,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
I114 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",srd-shetek-27july21-impatiens-03-leg,impatiens,leg,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
,,,srd-shetek-27july21-impatiens-03-swab,impatiens,swab,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
I115 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",srd-shetek-27july21-impatiens-04-leg,impatiens,leg,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
,,,srd-shetek-27july21-impatiens-04-swab,impatiens,swab,female,monarda fistulosa,44.099665,-95.686726,,minnesota,murray,27-07-21,90,3,50,lake shetek,srd,,
,,,mlb-prairiedunes-29july21-fervidus-01-leg,fervidus,leg,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
,,,mlb-prairiedunes-29july21-fervidus-01-swab,fervidus,swab,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
,,,mlb-prairiedunes-29july21-fervidus-02-leg,fervidus,leg,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
,,,mlb-prairiedunes-29july21-fervidus-02-swab,fervidus,swab,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
I86 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-prairiedunes-29july21-impatiens-01-leg,impatiens,leg,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
,,,mlb-prairiedunes-29july21-impatiens-01-swab,impatiens,swab,female,monarda fistulosa,47.421583,-96.278687,,minnesota,norman,29-07-21,71,9,100,prairie dunes,mlb,,
,,,mlb-rush-29july21-fervidus-01-leg,fervidus,leg,female,monarda fistulosa,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-01-swab,fervidus,swab,female,monarda fistulosa,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-02-leg,fervidus,leg,female,cirsium discolor,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-02-swab,fervidus,swab,female,cirsium discolor,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-03-leg,fervidus,leg,female,dalea purpurea,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-03-swab,fervidus,swab,female,dalea purpurea,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-04-leg,fervidus,leg,female,dalea purpurea,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,mlb-rush-29july21-fervidus-04-swab,fervidus,swab,female,dalea purpurea,47.354049,-95.88118,,minnesota,mahnomen,29-07-21,61,7,100,rush,mlb,,
,,,srd-meadowlark-27july21-fervidus-01-leg,fervidus,leg,female,monarda fistulosa,44.19594,-94.75929,,minnesota,,27-07-21,86,3,0,meadowlark,srd,,
,,,srd-meadowlark-27july21-fervidus-01-swab,fervidus,swab,female,monarda fistulosa,44.19594,-94.75929,,minnesota,,27-07-21,86,3,0,meadowlark,srd,,
,,,srd-meadowlark-27july21-fervidus-02-leg,fervidus,leg,female,monarda fistulosa,44.19594,-94.75929,,minnesota,,27-07-21,86,3,0,meadowlark,srd,,
,,,srd-meadowlark-27july21-fervidus-02-swab,fervidus,swab,female,monarda fistulosa,44.19594,-94.75929,,minnesota,,27-07-21,86,3,0,meadowlark,srd,,
I2 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-01-leg,impatiens,leg,female,tanacetum vulgare,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-01-swab,impatiens,swab,female,tanacetum vulgare,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I3 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-02-leg,impatiens,leg,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-02-swab,impatiens,swab,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I4 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-03-leg,impatiens,leg,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-03-swab,impatiens,swab,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I5 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-04-leg,impatiens,leg,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-04-swab,impatiens,swab,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I6 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-05-leg,impatiens,leg,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-05-swab,impatiens,swab,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I7 leg,yes,"box 5, -80 freezer B, UMN Bee Research Facility ",mlb-bremen-30july21-impatiens-06-leg,impatiens,leg,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
,,,mlb-bremen-30july21-impatiens-06-swab,impatiens,swab,female,centaurea stoebe,46.279758,-92.989397,,minnesota,,30-07-21,81,0,10,bremen,mlb,,
I104 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-01-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-01-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I94 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-02-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-02-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I90 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-03-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-03-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I89 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-04-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-04-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I100 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-05-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-05-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I99 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-mooselake-30july21-impatiens-06-leg,impatiens,leg,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
,,,mlb-mooselake-30july21-impatiens-06-swab,impatiens,swab,female,monarda fistulosa,46.398715,-92.808423,,minnesota,pine,30-07-21,63,0,30,moose lake,mlb,,
I103 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-01-leg,impatiens,leg,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-01-swab,impatiens,swab,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I93 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-02-leg,impatiens,leg,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-02-swab,impatiens,swab,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I95  leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-03-leg,impatiens,leg,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-03-swab,impatiens,swab,female,centaurea stoebe,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I96 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-04-leg,impatiens,leg,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-04-swab,impatiens,swab,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I97 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-05-leg,impatiens,leg,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-05-swab,impatiens,swab,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I101 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-rutledge-30july21-impatiens-06-leg,impatiens,leg,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
,,,mlb-rutledge-30july21-impatiens-06-swab,impatiens,swab,female,solidago canadensis,46.249318,-92.809646,,minnesota,pine,30-07-21,73,0,0,rutledge,mlb,,
I102 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-diamond-28july21-impatiens-01-leg,impatiens,leg,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,,mlb-diamond-28july21-impatiens-01-swab,impatiens,swab,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,,mlb-diamond-28july21-impatiens-02-leg,impatiens,leg,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,,mlb-diamond-28july21-impatiens-02-swab,impatiens,swab,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
I88 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-diamond-28july21-impatiens-03-leg,impatiens,leg,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,,mlb-diamond-28july21-impatiens-03-swab,impatiens,swab,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
I98 leg,,"box 6, -80 freezer B, UMN Bee Research Facility ",mlb-diamond-28july21-impatiens-04-leg,impatiens,leg,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,,mlb-diamond-28july21-impatiens-04-swab,impatiens,swab,female,solanum,,,,minnesota,,28-07-21,86,13,20,diamond point park,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-01-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-01-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-02-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-02-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-03-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-03-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-04-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-04-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-05-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-05-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-06-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-06-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-07-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-07-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-08-leg,affinis,leg,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-08-swab,affinis,swab,male,agastache foeniculum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-benson-31july21-affinis-09-leg,affinis,leg,male,pycanthemum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,,mlb-benson-31july21-affinis-09-swab,affinis,swab,male,pycanthemum,,,,minnesota,,31-07-21,79,8,30,benson,mlb,,
,,"Logan Lab, USDA, Utah",mlb-phalen-01aug21-affinis-01-leg,affinis,leg,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,,mlb-phalen-01aug21-affinis-01-swab,affinis,swab,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,"Logan Lab, USDA, Utah",mlb-phalen-01aug21-affinis-02-leg,affinis,leg,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,,mlb-phalen-01aug21-affinis-02-swab,affinis,swab,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,"Logan Lab, USDA, Utah",mlb-phalen-01aug21-affinis-03-leg,affinis,leg,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,,mlb-phalen-01aug21-affinis-03-swab,affinis,swab,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,"Logan Lab, USDA, Utah",mlb-phalen-01aug21-affinis-04-leg,affinis,leg,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,,mlb-phalen-01aug21-affinis-04-swab,affinis,swab,male,eutrochium purpureum,,,,minnesota,,01-08-21,77,10,75,phalen creek,mlb,,
,,,mlb-kroschel-02aug21-impatiens-01-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-01-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-02-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-02-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-03-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-03-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-04-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-04-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-05-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-05-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-06-leg,impatiens,leg,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-impatiens-06-swab,impatiens,swab,female,centaurea stoebe,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-01-leg,fervidus,leg,female,n/a,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-01-swab,fervidus,swab,female,n/a,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-02-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-02-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-03-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-03-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-04-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-04-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-05-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-05-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-06-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-06-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-07-leg,fervidus,leg,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,,mlb-kroschel-02aug21-fervidus-07-swab,fervidus,swab,female,trifolium pratense,46.094365,-93.150673,,minnesota,kanabec,02-08-21,73,3,10,kroschel,mlb,,
,,"Logan Lab, USDA, Utah",mlb-lebanon-04aug21-affinis-01-leg,affinis,leg,female,eutrochium purpureum,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,,mlb-lebanon-04aug21-affinis-01-swab,affinis,swab,female,eutrochium purpureum,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,"Logan Lab, USDA, Utah",mlb-lebanon-04aug21-affinis-02-leg,affinis,leg,male,monarda fistulosa,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,,mlb-lebanon-04aug21-affinis-02-swab,affinis,swab,male,monarda fistulosa,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,"Logan Lab, USDA, Utah",mlb-lebanon-04aug21-affinis-03-leg,affinis,leg,female,monarda fistulosa,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,,mlb-lebanon-04aug21-affinis-03-swab,affinis,swab,female,monarda fistulosa,44.778774,-93.127164,,minnesota,dakota,04-08-21,80,3,20,lebanon hills,mlb,,
,,,srd-chester-06aug21-fervidus-01-leg,fervidus,leg,female,dalea purpurea,43.992125,-92.337476,,minnesota,olmsted,06-08-21,75,1,100,chester woods,srd,,
,,,srd-chester-06aug21-fervidus-01-swab,fervidus,swab,female,dalea purpurea,43.992125,-92.337476,,minnesota,olmsted,06-08-21,75,1,100,chester woods,srd,,
,,,srd-chosenvalley-06aug21-fervidus-01-leg,fervidus,leg,female,lotus corniculatus,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-01-swab,fervidus,swab,female,lotus corniculatus,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-02-swab,fervidus,swab,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-03-swab,fervidus,swab,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-03-leg,fervidus,leg,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-04-swab,fervidus,swab,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-04-leg,fervidus,leg,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
,,,srd-chosenvalley-06aug21-fervidus-05-swab,fervidus,swab,female,monarda fistulosa,43.833567,-92.311656,,minnesota,fillmore,06-08-21,79,2,100,chosen valley,srd,,
